categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,Titulo_proyecto,año
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,IMPLEMENTACION INFRAESTRUCTURA DE UNA DE INTELIGENCIA DE NEGOCIOS PARA UNA MYPIME EN MONTERIA (COLOMBIA) Corporación Universitaria Adventista,2021
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Trabajo dirigido de grado de maestría o especialidad clínica,Estudio exploratorio ¿ descriptivo de causas de deserción estudiantil en la Corporación Universitaria Adventista de Colombia entre 2007 y 2022 Universidad Internacional de la Rioja UNIR,2007
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Software del Consultorio Empresarial en Logística de la Corporación Universitaria Adventista Colombia Corporación Universitaria Adventista,2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Migration of the IPS-42 ionosonde analysis module into a web application in Python Corporación Universitaria Adventista,2020
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Modelado Predictivo para la Retención de miembros de una comunidad religiosa utilizando técnicas de Machine Learning Corporación Universitaria Adventista,2025
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Consultoría Científico Tecnológica e Informe Técnico - Acciones de transferencia tecnológica,PLATAFORMA DEL CONSULTORIO EMPRESARIAL EN LOGÍSTICA DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Evento científico,5° Congreso de Investigación de la División Interamericana,2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Evento científico,4° Congreso de Investigación de la División Interamericana,2021
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,"Tutoría del semillero Dataminers,",2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,"Selección, revisión y traducción de retos Bebras para el Desafío Bebras Colombia 2023,",2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,"Selección, revisión y traducción de retos Bebras para el Desafío Bebras Colombia 2024,",2024
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Desarrollos web,"PLATAFORMA DEL CONSULTORIO EMPRESARIAL EN LOGÍSTICA DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,",2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Artículo,TENSOR FORMULATION OF 3-D MIMETIC FINITE DIFFERENCES AND APPLICATIONS TO ELLIPTIC PROBLEMS,2016
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Capítulos de libro,"UNA PROPUESTA PARA EL MEJORAMIENTO EN EL ANÁLISIS, EXPORTACIÓN Y DISEMINACIÓN DE IONOGRAMAS DIGITALES DESDE LA SONDA IPS-42",2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Documento de trabajo,Documento Proposal for a science data catalog for the IPS-42 ionosonde using CKAN,2020
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Documento de trabajo,Documento Migration of the IPS-42 ionosonde analysis module into a web application in Python,2020
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Software,PLATAFORMA PARA LA REMISIÓN DE ESTUDIANTES AL CENTRO DE APOYO UNIVERSITARIO DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA.,2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Software,Prototipo de un sistema de alerta temprana de deserción desde el proceso de admisión de aspirantes de la facultad de ingeniería en la UNAC,2022
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Software,PLATAFORMA WEB PARA EL ANÁLISIS PREDICTIVO DE LA DESERCIÓN ESTUDIANTIL EN UNA INSTITUCIÓN DE EDUCACIÓN SUPERIOR EN AMÉRICA LATINA,2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Software,PLATAFORMA DE PSICOLOGÍA TEST DE ESTILOS DE APRENDIZAJE DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2023
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Software,PLATAFORMA DEL CONSULTORIO EMPRESARIAL EN LOGÍSTICA DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2022
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Innovación de proceso o procedimiento,PARA LA DIRECCIÓN DE CALIDAD DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2023
